No.,Feature,Page/Section/Area,Functionality,Developer Testing (Passing/Failing),End-User Testing (Passing/Failing),Description,Comments (Progress/Problems/Blockers)
1,Signing in,Landing Page,Sign in to the up,,,,
2,Signing up,Landing Page,Sign up to the app,,,,
3,Reseting Password,Landing Page,Reset password,,,,
4,Course ,Course Listing Control Panel,View course listing,,,,
5,Course ,Course Details Details Control Panel,View course chapters listing,,,,
6,Course ,Course Details Details Control Panel,View lessons listing,,,,
7,Course ,Course Details Details Control Panel,View quiz listing,,,,
8,Course ,Course Details Details Control Panel,View assignment listing,,,,
9,Course ,Course Details Details Control Panel,View lesson's progress,,,,
10,Course ,Course Details Details Control Panel,Download lesson,,,,
11,Course ,Course Details Details Control Panel,View course's video in online mode,,,,
12,Course ,Course Details Details Control Panel,View course's video in offline mode,,,,
13,Course ,Course Details Details Control Panel,View course's pdf in online mode,,,,
14,Course ,Course Details Details Control Panel,View course's pdf in offline mode,,,,
15,Quiz,Quiz details control panel,Open quiz in online mode,,,,
16,Quiz,Quiz details control panel,View quiz questions in online mode,,,,
17,Quiz,Quiz details control panel,View quiz's attached photos in online mode,,,,
18,Quiz,Quiz details control panel,Select the answer for the question in online mode,,,,
19,Quiz,Quiz details control panel,View quiz result summary in online mode,,,,
20,Quiz,Quiz details control panel,View quiz's detailed summary in online mode,,,,
21,Quiz,Quiz details control panel,Open quiz in offline mode,,,,
22,Quiz,Quiz details control panel,View quiz questions in offline mode,,,,
23,Quiz,Quiz details control panel,View quiz's attached photos in offline mode,,,,
24,Quiz,Quiz details control panel,Select the answer for the question in offline mode,,,,
25,Quiz,Quiz details control panel,View quiz result summary in offline mode,,,,
26,Quiz,Quiz details control panel,View quiz's detailed summary in offline mode,,,,
27,Library,Library Control Panel,View library's books listing in online mode,,,,
28,Library,Library Control Panel,View library's books listing in offline mode,,,,
29,Library,Library Control Panel,Download book,,,,
30,Library,Library Books Details Control Panel,View book content in online mode,,,,
31,Library,Library Books Details Control Panel,View book content in offline mode,,,,
32,Library,Library Control Panel,Search books,,,,
33,Discussion,Discussion Control Panel,Add discussion,,,,
34,Discussion,Discussion Control Panel,View disucussion listing,,,,
35,Discussion,Discussion Details Control Panel,Open discussion details,,,,
36,Discussion,Discussion Details Control Panel,View discussion description,,,,
37,Discussion,Discussion Details Control Panel,Comment under discussions,,,,
38,Discussion,Discussion Details Control Panel,View Comments,,,,
39,Discussion,Discussion Details Control Panel,Like/dislike discussions' comments,,,,
40,Discussion,Discussion Details Control Panel,Edit discussions,,,,
41,Discussion,Discussion Control Panel,Search discussion,,,,
42,Discussion,Discussion Control Panel,Filter discussions,,,,
43,Assignment,Assignment Control Panel for Students,View course's assignment details and files in online mode,,,,
44,Assignment,Assignment Control Panel for Students,View assignment status and grading,,,,
45,Assignment,Assignment Control Panel for Students,Submit assingment,,,,
46,Assignment,Assignment Control Panel for Students,Comment under assignment,,,,
47,Assignment,Assignment Control Panel for Students,Like/dislike assignment' discussion comments,,,,
48,Assignment,Assignment Control Panel for Teachers,See the listing of the students who submitted the assignment,,,,
49,Assignment,Assignment Control Panel for Teachers,Approve/reject the assignment,,,,
50,Assignment,Assignment Control Panel for Teachers,Comment under the assignment details,,,,
51,Assignment,Assignment Control Panel for Teachers,View the details and files of the assignment,,,,
52,Notification,Notification Control Panel,View notification listing,,,,
53,Notification,Notification Control Panel,Receive notification when the course details is updated,,,,
54,Notification,Notification Control Panel,Recieve notification when a discussion is created (Teachers),,,,
55,Notification,Notification Control Panel,Recieve notification when something is commented under the discussions,,,,
56,Notification,Notification Control Panel,Receive notification when the assignment is approved/rejected (students),,,,
57,Notification,Notification Control Panel,Receive notification when something is commented under the discussion of the assignment,,,,
58,Notification,Notification Control Panel,Receive notification when the assignemnt is submitted (teacher),,,,
59,Notification,Notification Control Panel,Receive notification when the the status of the feedback is updated,,,,
60,Parent Monitoring,Parent Control Panel,Login as parent user,,,,
61,Parent Monitoring,Parent Control Panel,View parent user dashboard,,,,
62,Parent Monitoring,Parent Control Panel,Filter on users,,,,
63,Parent Monitoring,Parent Control Panel,View geolocation of the users,,,,
64,Parent Monitoring,Parent Control Panel,Apply filter on the geolocation,,,,
65,Parent Monitoring,Parent Control Panel,View Time Spent In the App,,,,
66,Parent Monitoring,Parent Control Panel,View the GPA,,,,
67,Parent Monitoring,Parent Control Panel,Apply filter on gpa,,,,
68,Parent Monitoring,Parent Control Panel,view filter on gpa overtime,,,,
69,Parent Monitoring,Parent Control Panel,View quiz results ,,,,
70,Parent Monitoring,Parent Control Panel,View quiz results overtime,,,,
71,Parent Monitoring,Parent Control Panel,Apply filter on quiz results,,,,
72,Parent Monitoring,Parent Control Panel,View assignment results,,,,
73,Parent Monitoring,Parent Control Panel,View assignment results overtime,,,,
74,Parent Monitoring,Parent Control Panel,View the percentage of the users' progress on the courses contents,,,,
75,Parent Monitoring,Parent Control Panel,Aplly filter on the percentage of the users' progress on the courses contents,,,,
76,Parent Monitoring,Parent Control Panel,Apply filter on the assignments,,,,
77,Feedback,Feedback Control Panel,View the feedback listing based on the status,,,,
78,Feedback,Feedback Control Panel,View feedback category,,,,
79,Feedback,Feedback Control Panel,Submit feedback based on category,,,,